planet_name,disposition,radius_earth,estimated_mass_earth,period_days,temperature_k,semi_major_axis_au,insolation_flux,in_hz_conservative,in_hz_optimistic,esi,temp_score,size_mass_score,habitability_score,habitability_category,distance_ly
Kepler-186 f,CONFIRMED,1.18,1.8448600526014405,129.945392,177.0,0.3855,0.23,False,False,0.8127686445588513,0.0,1.0,0.3531921611397128,Low,580.0
Kepler-186 e,CONFIRMED,1.15,1.6771890151703222,22.40777833,319.0,0.1194,2.44,False,False,0.8791619411915217,0.825141823623021,1.0,0.5760759412036357,Moderate,580.0
Kepler-22 b,CONFIRMED,2.34,15.29551531744195,289.864067,257.0,0.7961,1.03,True,True,0.4443239415378269,0.0,0.0,0.4610809853844567,Moderate,620.0
Kepler-438 b,CONFIRMED,0.97,0.8934194784503181,35.2330694,288.0,0.1729,1.62,False,False,0.9767609823706548,1.0,1.0,0.6441902455926637,Moderate,640.0
Kepler-1652 b,CONFIRMED,1.58,6.864742030158441,38.0970717,242.0,0.1667,0.81,True,True,0.5845150884121572,0.0,0.05,0.5036287721030392,Moderate,822.0
Kepler-395 c,CONFIRMED,1.14,1.623857628803667,34.9897847,292.0,0.1691,1.71,False,False,0.8961863369726051,0.9968051145430328,1.0,0.6232478628789095,Moderate,1100.0
Kepler-442 b,CONFIRMED,1.3,2.639917795300617,112.303136,241.0,0.3874,0.79,True,True,0.7740807674720174,0.0,0.8933470341165639,0.6775222469854889,Moderate,1206.0
Kepler-1544 b,CONFIRMED,1.69,7.875037700282099,168.81133,241.0,0.5459,0.8,True,True,0.5575890217370145,0.0,0.0,0.4893972554342536,Moderate,1300.0
Kepler-1410 b,CONFIRMED,1.39,3.3818532715660754,60.8660974,244.0,0.2465,0.84,True,True,0.7233257739502053,0.0,0.7696911214056541,0.6462851116983994,Moderate,1600.0
Kepler-296 e,CONFIRMED,1.06,1.2405997847581895,34.1420506,248.0,0.151,0.89,True,True,0.9368757953678474,0.0,1.0,0.7342189488419618,High,1650.0
Kepler-296 f,CONFIRMED,1.18,1.8448600526014405,63.3354719,202.0,0.2279,0.39,False,False,0.8291358334126764,0.0,1.0,0.357283958353169,Low,1650.0
Kepler-283 c,CONFIRMED,1.87,9.681009392897993,92.7495777,240.0,0.3378,0.78,True,True,0.5187855345289109,0.0,0.0,0.4796963836322276,Moderate,1740.0
Kepler-452 b,CONFIRMED,1.09,1.3755552614228304,384.847556,220.0,0.994,0.56,False,False,0.9003991416805427,0.0,1.0,0.3750997854201356,Low,1800.0
Kepler-1090 b,CONFIRMED,2.79,21.897590950470967,198.680859,297.0,0.6364,1.83,False,False,0.3930901389766142,0.9839305142725084,0.0,0.3442551633122806,Low,2043.0
Kepler-69 c,CONFIRMED,1.73,8.259957534104098,242.467406,286.0,0.7106,1.59,False,False,0.5609456557701245,0.9992003199146836,0.0,0.390036493921202,Low,2700.0
Kepler-1606 b,CONFIRMED,2.33,15.162466105761697,196.436796,292.0,0.6446,1.72,False,False,0.4515398809536062,0.9968051145430328,0.0,0.3620862488741597,Low,2900.0
Kepler-1512 b,CONFIRMED,0.8,0.4379584921563907,20.35971899,276.0,0.1025,1.38,False,False,0.8193613498383608,0.9716107671891228,0.9224481151954884,0.5861102465361941,Moderate,3000.0
